B01002_001E,B01003_001E,B17001_002E,B19013_001E,B19301_001E,NAME,zip code tabulation area
35.6,33106,5632,48951,26878,ZCTA5 01852,01852
29.6,29073,6040,42947,19646,ZCTA5 01854,01854
43.5,6440,184,79423,36605,ZCTA5 01860,01860
39,10992,607,85497,30074,ZCTA5 01862,01862
40.5,9526,714,81160,37573,ZCTA5 01863,01863
42.4,15076,721,110852,45031,ZCTA5 01864,01864
41.8,24524,417,105524,47036,ZCTA5 01867,01867
43.4,28778,890,90897,39980,ZCTA5 01876,01876
42.1,11675,691,90987,40920,ZCTA5 01879,01879
42.1,25116,975,84556,40379,ZCTA5 01880,01880
42.4,22458,411,124464,49341,ZCTA5 01886,01886
41.7,22656,530,99508,37424,ZCTA5 01887,01887
42.5,21621,719,131000,64385,ZCTA5 01890,01890
42.8,2023,569,23467,20625,ZCTA5 01901,01901
32,44827,10625,37275,20391,ZCTA5 01902,01902
40.6,18803,1040,80903,33409,ZCTA5 01904,01904
32.4,25090,6680,42490,19934,ZCTA5 01905,01905
44.9,27051,1341,76339,34350,ZCTA5 01906,01906
44,14086,660,92399,48336,ZCTA5 01907,01907
49.7,3432,99,66964,45464,ZCTA5 01908,01908
41.3,16429,892,78486,38659,ZCTA5 01913,01913
39.8,40026,3185,70563,37554,ZCTA5 01915,01915
45.6,8040,70,125833,58734,ZCTA5 01921,01921
44.4,3025,66,109301,40983,ZCTA5 01922,01922
43,26810,1377,79478,38281,ZCTA5 01923,01923
45.4,3546,124,74211,42259,ZCTA5 01929,01929
47.1,29043,2931,61449,35928,ZCTA5 01930,01930
72.1,89,44,,29602,ZCTA5 01937,01937
48.1,13354,674,77087,43021,ZCTA5 01938,01938
44.4,12299,260,106239,46227,ZCTA5 01940,01940
48.3,5185,301,115650,70075,ZCTA5 01944,01944
44.7,19958,1074,98399,58082,ZCTA5 01945,01945
41.1,9131,283,104245,39115,ZCTA5 01949,01949
46.3,17569,1446,78638,46124,ZCTA5 01950,01950
49.2,3707,266,81106,42632,ZCTA5 01951,01951
46.2,8396,668,72131,35656,ZCTA5 01952,01952
44.3,51319,3181,64430,34255,ZCTA5 01960,01960
52.1,7040,307,66402,41762,ZCTA5 01966,01966
45.1,5914,589,83237,38324,ZCTA5 01969,01969
36.9,41747,6229,55698,31407,ZCTA5 01970,01970
40,7995,188,105865,44500,ZCTA5 01982,01982
45.4,6211,374,111696,56488,ZCTA5 01983,01983
24.9,4964,134,127606,46255,ZCTA5 01984,01984
43,4305,259,111652,53144,ZCTA5 01985,01985
40.8,16438,379,80179,36165,ZCTA5 02019,02019
42.8,21781,1265,89900,46086,ZCTA5 02021,02021
42,7935,350,117829,61267,ZCTA5 02025,02025
43,24906,1029,84704,43063,ZCTA5 02026,02026
44.3,5677,18,187829,89476,ZCTA5 02030,02030
42.9,3884,128,77955,39531,ZCTA5 02032,02032
41.2,16990,683,91601,42801,ZCTA5 02035,02035
37.8,32064,1330,99194,41946,ZCTA5 02038,02038
43.8,22330,586,106854,60770,ZCTA5 02043,02043
49,10319,608,75551,41064,ZCTA5 02045,02045
89.3,111,0,,14649,ZCTA5 02047,02047
37.4,23293,936,93539,42207,ZCTA5 02048,02048
43.5,25647,1072,91764,43165,ZCTA5 02050,02050
43.4,12136,516,133931,62076,ZCTA5 02052,02052
42.1,12866,395,106132,43335,ZCTA5 02053,02053
41.5,7950,490,91341,39651,ZCTA5 02054,02054
42.5,11274,505,134104,43630,ZCTA5 02056,02056
44.3,10560,273,113944,48205,ZCTA5 02061,02061
41.2,28698,2226,75957,37213,ZCTA5 02062,02062
45.4,17730,485,100833,49657,ZCTA5 02066,02066
43.2,17591,575,125313,53259,ZCTA5 02067,02067
40.3,1770,0,97813,25115,ZCTA5 02071,02071
43.1,27522,2058,74262,33094,ZCTA5 02072,02072
42.9,19006,712,93416,44982,ZCTA5 02081,02081
45,14714,325,128984,62949,ZCTA5 02090,02090
44.2,11058,575,100574,45019,ZCTA5 02093,02093
34.6,4062,314,96921,83723,ZCTA5 02108,02108
33.9,4241,411,119196,90256,ZCTA5 02109,02109
50.9,1752,268,111250,136352,ZCTA5 02110,02110
34.3,7771,2092,43551,51511,ZCTA5 02111,02111
28.6,6843,1010,66636,54464,ZCTA5 02113,02113
31.2,11994,1681,80500,67701,ZCTA5 02114,02114
21.8,28928,7107,27134,22112,ZCTA5 02115,02115
33,21793,2763,87653,80314,ZCTA5 02116,02116
33.6,27873,6989,54152,45343,ZCTA5 02118,02118
33.3,24767,8153,27180,19183,ZCTA5 02119,02119
23.4,14221,5346,35077,17704,ZCTA5 02120,02120
30.2,27093,8714,28238,17224,ZCTA5 02121,02121
32.9,24546,5207,50192,23904,ZCTA5 02122,02122
34.6,51382,10442,48841,22891,ZCTA5 02124,02124
30.2,34172,9664,45130,23350,ZCTA5 02125,02125
37.7,27984,5290,45238,20804,ZCTA5 02126,02126
30.8,33825,6071,68724,44737,ZCTA5 02127,02127
34,43575,7316,48704,23468,ZCTA5 02128,02128
34.6,17454,3287,86346,57847,ZCTA5 02129,02129
33.6,37541,6435,75730,44110,ZCTA5 02130,02130
38,30960,4131,66735,30984,ZCTA5 02131,02131
42.9,27628,1169,83360,44546,ZCTA5 02132,02132
26.8,19009,6016,37820,24946,ZCTA5 02134,02134
29.2,36932,8123,48687,31475,ZCTA5 02135,02135
36.2,29271,3008,58890,27408,ZCTA5 02136,02136
29,35554,3234,75446,52592,ZCTA5 02138,02138
30.3,36015,5063,71745,42235,ZCTA5 02139,02139
35.3,18164,2283,71908,50856,ZCTA5 02140,02140
31.7,13126,2338,64326,39241,ZCTA5 02141,02141
29.3,2838,519,100114,67525,ZCTA5 02142,02142
