Reg	St	Site Name                                                                		Site ID	EPA ID	Address	City	Zip	County			FF?	Latitude	Longitude	Final Date
?02?	NJ	D'IMPERIO PROPERTY		?0200639?	NJD980529416	RTE 322 	HAMILTON TOWNSHIP	08330	ATLANTIC			N	?+39.454430?	?-074.658880? 	9/8/1983
?02?	NJ	DAYCO CORP./L.E CARPENTER CO.		?0200136?	NJD002168748	170 N MAIN STREET 	WHARTON BOROUGH	07885	MORRIS			N	?+40.903330?	?-074.577500? 	7/22/1987
?02?	NJ	DE REWAL CHEMICAL CO.		?0200792?	NJD980761373	DELAWARE RIVER DR 	KINGWOOD TOWNSHIP	08825	HUNTERDON			N	?+40.516200?	?-075.061400? 	9/21/1984
?02?	NJ	DIAMOND ALKALI CO.		?0200613?	NJD980528996	80 LISTER AVE 	NEWARK	07105	ESSEX			N	?+40.739710?	?-074.136110? 	9/21/1984
?02?	NJ	DIAMOND HEAD OIL REFINERY DIV.		?0200484?	NJD092226000	1401 HARRISON TURNPIKE 	KEARNY	07032	HUDSON			N	?+40.747220?	?-074.132190? 	9/5/2002
?02?	NJ	DOVER MUNICIPAL WELL 4		?0200768?	NJD980654131	272 ROUTE46 	DOVER	07801	MORRIS			N	?+40.885800?	?-074.542300? 	9/8/1983
?02?	NJ	ELLIS PROPERTY		?0200620?	NJD980529085	SHARP ROAD 	EVESHAM TOWNSHIP	08053	BURLINGTON			N	?+39.905000?	?-074.864710? 	9/8/1983
?02?	NJ	EMMELL'S SEPTIC LANDFILL		?0200986?	NJD980772727	128 ZURICH AVE 	GALLOWAY TOWNSHIP	08215	ATLANTIC			N	?+39.500690?	?-074.543610? 	7/22/1999
?02?	NJ	EVOR PHILLIPS LEASING		?0200776?	NJD980654222	OLD WATER WORKS ROAD 	OLD BRIDGE TOWNSHIP	08857	MIDDLESEX			N	?+40.437500?	?-074.325000? 	9/8/1983
?02?	NJ	EWAN PROPERTY		?0200791?	NJD980761365	WALLINGFORD WAY 	SHAMONG TOWNSHIP	08088	BURLINGTON			N	?+39.802780?	?-074.719430? 	9/21/1984
?02?	NJ	FAIR LAWN WELL FIELD		?0200765?	NJD980654107	IND PARK/HENDERSON BLVD 11 ST 	FAIR LAWN	07410	BERGEN			N	?+40.937500?	?-074.131930? 	9/8/1983
?02?	NJ	FEDERAL AVIATION ADMINISTRATION TECHNICAL CENTER (USDOT)		?0201178?	NJ9690510020	ROUTES 563 & 575 	ATLANTIC COUNTY	08405	ATLANTIC			Y	?+39.458330?	?-074.583330? 	8/30/1990
